name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Jack Grealish,Left Winger,25,65000000,England,Premier League,Aston Villa,England,Premier League,Manchester City,117000000
Romelu Lukaku,Centre-Forward,28,100000000,Italy,Serie A,Inter Milan,England,Premier League,Chelsea FC,115000000
Jadon Sancho,Left Winger,21,100000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester United,85000000
Lionel Messi,Right Winger,34,80000000,Spain,LaLiga,FC Barcelona,France,Ligue 1,Paris Saint-Germain,free transfer
Raphaël Varane,Centre-Back,28,70000000,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,40000000
Achraf Hakimi,Right-Back,22,60000000,Italy,Serie A,Inter Milan,France,Ligue 1,Paris Saint-Germain,60000000
Dayot Upamecano,Centre-Back,22,60000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Bayern Munich,42000000
Antoine Griezmann,Second Striker,30,60000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Atlético de Madrid,10000000
Gianluigi Donnarumma,Goalkeeper,22,60000000,Italy,Serie A,AC Milan,France,Ligue 1,Paris Saint-Germain,free transfer
Ben White,Centre-Back,23,28000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Arsenal FC,58000000
Eduardo Camavinga,Central Midfield,18,55000000,France,Ligue 1,Stade Rennais FC,Spain,LaLiga,Real Madrid,31000000
David Alaba,Centre-Back,29,55000000,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Real Madrid,free transfer
André Silva,Centre-Forward,25,45000000,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,RB Leipzig,23000000
Cristiano Ronaldo,Centre-Forward,36,45000000,Italy,Serie A,Juventus FC,England,Premier League,Manchester United,15000000
Memphis Depay,Centre-Forward,27,45000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,FC Barcelona,free transfer
Marcel Sabitzer,Central Midfield,27,42000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Bayern Munich,15000000
Ibrahima Konaté,Centre-Back,22,35000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Liverpool FC,40000000
Tammy Abraham,Centre-Forward,23,38000000,England,Premier League,Chelsea FC,Italy,Serie A,AS Roma,40000000
Martin Ødegaard,Attacking Midfield,22,40000000,Spain,LaLiga,Real Madrid,England,Premier League,Arsenal FC,35000000
Nuno Mendes,Left-Back,19,40000000,Portugal,Liga Bwin,Sporting CP,France,Ligue 1,Paris Saint-Germain,7000000
Saúl Ñíguez,Central Midfield,26,40000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Chelsea FC,5000000
Emiliano Buendía,Right Winger,24,35000000,England,Premier League,Norwich City,England,Premier League,Aston Villa,38000000
Rodrigo de Paul,Central Midfield,27,38000000,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,35000000
Kurt Zouma,Centre-Back,26,32000000,England,Premier League,Chelsea FC,England,Premier League,West Ham United,35000000
Leon Bailey,Left Winger,23,35000000,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Aston Villa,32000000
Angeliño,Left-Back,24,35000000,England,Premier League,Manchester City,Germany,Bundesliga,RB Leipzig,18000000
Cristian Romero,Centre-Back,23,35000000,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,16000000
Moise Kean,Centre-Forward,21,35000000,England,Premier League,Everton FC,Italy,Serie A,Juventus FC,7000000
Hakan Calhanoglu,Attacking Midfield,27,35000000,Italy,Serie A,AC Milan,Italy,Serie A,Inter Milan,free transfer
Cristian Romero,Centre-Back,23,35000000,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,loan transfer
